"History of Points","تاریخچه ی امتیازات"
"Add Point","اضافه کردن امتیاز"
"Add Points","اضافه کردن امتیاز"
"Add points","اضافه کردن امتیاز"
"Save Points","ذخیره امتیاز"
"Edit '%s'","ویرایش '%s'"
"Points","امتیازات"
"Customer","مشتری"
"Description","توضیحات"
"Information","اطلاعات"
"#","شناسه"
"Date","تاریخ"
"Total points","مجموع امتیازات"
"From","از طرف"
"Description","توضیحات"
"Customers points","امتیازات مشتریان"
"Customers Points","امتیازات مشتریان"
"View history of points","تاریخچه امتیازات کل"
"History","تاریخچه"
"Item was successfully saved","آیتم با موفقیت ذخیره شد"
"Unable to find item to save","قادر به پیدا کردن آیتم برای ذخیره سازی نیست"
"Leagues history","تاریخچه ی امتیازات لیگ ها"
"Customers total points in league","امتیازات در لیگ جاری"
"Leagues","لیگ ها"
"Total points of customers in league","مجموع امتیازات مشتریان در لیگ"
"Customers total points in current league","امتیازات مشتریان در لیگ جاری"
"League name","نام لیگ"
"Save information","ذخیره اطلاعات"
"Delete information","حذف اطلاعات"
"Edit default values","ویرایش مقادیر پیش فرض"
"Percent","درصد"
"Default amount","مقدار پیش فرض"
"Edit categories","ویرایش دسته بندی ها"
"Customers total points in different categories","مجموع امتیازات مشتریان در دسته بندی ها"
"Category id","شناسه دسته بندی"
"You could select a category for adding or subtracting points from. This relates to current active league.","می توانید یک دسته بندی را برای اضافه یا حذف کردن امتیاز انتخاب کنید. این عملیات بر روی لیگ جاری انجام می شود."
"Latest update","آخرین به روز رسانی"
"Top ten in different categories of league","ده نفر اول در دسته بندی های مختلف لیگ"
"Customer ID","شناسه مشتری"
"Category name","نام دسته بندی"
"Prize amount","مقدار جایزه"
"Leagues winners","برندگان لیگ ها"
"Total points of customers in current league","مجموع امتیازات مشتریان در لیگ جاری"
"Total points of customers in categories","مجموع امتیازات مشتریان در دسته بندی ها"
"Edit default amounts","ویرایش مقادیر پیش فرض"
"Edit defaults","ویرایش پیش فرض ها"
"Categories","دسته بندی ها"
"Values were successfully saved.","مقادیر با موفقیت ذخیره شدند."
"Please fix the percents.","لطفا درصد ها اصلاح شوند."
"Amounts should be digits.","مقادیر باید عددی باشند."
"Edit defualt award amounts","ویرایش مقدار جوایز"
"Points by categories","امتیازات بر حسب دسته بندی"
"(Toman)","(تومان)"
"Total sells by category","فروش کل بر حسب دسته بندی"
"Total income","درآمد کل"
"Total income of leagues by category","درآمد کل بر حسب دسته بندی"
"Leagues total sells","فروش کل لیگ ها"
"No points yet.","هنوز امتیازی به دست نیاورده اید."
"Point","امتیاز"
"Points history","تاریخچه امتیازات"
